Rebalance(time=1481552196955988985, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552208178723889, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552208180866959, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552208535439788, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552208537565591, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552237600283265, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552237602461593, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552237604253654, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552237605915831, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552239062689137, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552239064811204, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552559519825730, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552559521611647, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552559521689221, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481552559524171761, exchange='IEX', name='VXX', holding=0, fairvalue=25.98, Profit=0.0)
Rebalance(time=1481552559524329746, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481552559525895318, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481552559527046257, exchange='IEX', name='VXX', holding=0, fairvalue=26.025, Profit=0.0)
Rebalance(time=1481552559528104237, exchange='IEX', name='VXX', holding=0, fairvalue=26.015, Profit=0.0)
Rebalance(time=1481552560187267251, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481552560189384793, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481552579330070113, exchange='IEX', name='VXX', holding=0, fairvalue=25.985, Profit=0.0)
Rebalance(time=1481552621825395229, exchange='IEX', name='VXX', holding=0, fairvalue=28.43, Profit=0.0)
Rebalance(time=1481552621827520134, exchange='IEX', name='VXX', holding=0, fairvalue=26.0, Profit=0.0)
Rebalance(time=1481552627963830793, exchange='IEX', name='VXX', holding=0, fairvalue=26.005, Profit=0.0)
Rebalance(time=1481552631405198017, exchange='IEX', name='VXX', holding=0, fairvalue=28.435, Profit=0.0)
Rebalance(time=1481552631407291863, exchange='IEX', name='VXX', holding=0, fairvalue=25.990000000000002, Profit=0.0)
